DATE,PCEPILFE_PC1
2001-05-01,1.94251
2001-06-01,2.09220
2001-07-01,2.12212
2001-08-01,2.04209
2001-09-01,1.21671
2001-10-01,1.78733
2001-11-01,1.81466
2001-12-01,1.73873
2002-01-01,1.41828
2002-02-01,1.43290
2002-03-01,1.44851
2002-04-01,1.56968
2002-05-01,1.65861
2002-06-01,1.59333
2002-07-01,1.53826
2002-08-01,1.68772
2002-09-01,2.43569
2002-10-01,1.80552
2002-11-01,1.69770
2002-12-01,1.76889
2003-01-01,1.78091
2003-02-01,1.72687
2003-03-01,1.76890
2003-04-01,1.59845
2003-05-01,1.63155
2003-06-01,1.52707
2003-07-01,1.57416
2003-08-01,1.48886
2003-09-01,1.46463
2003-10-01,1.56590
2003-11-01,1.60535
2003-12-01,1.63710
2004-01-01,1.82899
2004-02-01,1.85327
2004-03-01,1.86049
2004-04-01,2.01245
2004-05-01,2.00575
2004-06-01,2.11006
2004-07-01,1.97554
2004-08-01,1.89990
2004-09-01,1.94909
2004-10-01,1.98208
2004-11-01,2.06254
2004-12-01,2.06627
2005-01-01,2.17143
2005-02-01,2.17544
2005-03-01,2.25561
2005-04-01,2.10751
2005-05-01,2.17689
2005-06-01,2.08637
2005-07-01,2.11497
2005-08-01,2.15887
2005-09-01,2.19327
2005-10-01,2.26522
2005-11-01,2.30603
2005-12-01,2.28088
2006-01-01,2.14248
2006-02-01,2.13771
2006-03-01,2.16793
2006-04-01,2.36219
2006-05-01,2.40857
2006-06-01,2.59579
2006-07-01,2.54576
2006-08-01,2.67135
2006-09-01,2.60601
2006-10-01,2.49692
2006-11-01,2.28422
2006-12-01,2.31560
2007-01-01,2.50045
2007-02-01,2.55647
2007-03-01,2.37699
2007-04-01,2.21097
2007-05-01,2.07564
2007-06-01,1.98727
2007-07-01,2.04111
2007-08-01,1.98484
2007-09-01,2.10233
2007-10-01,2.18351
2007-11-01,2.33584
2007-12-01,2.40339
2008-01-01,2.19304
2008-02-01,2.07241
2008-03-01,2.16974
2008-04-01,2.08372
2008-05-01,2.14893
2008-06-01,2.21410
2008-07-01,2.24450
2008-08-01,2.21794
2008-09-01,2.04398
2008-10-01,1.63440
2008-11-01,1.39027
2008-12-01,1.13783
2009-01-01,0.90593
2009-02-01,0.88784
2009-03-01,0.76246
2009-04-01,0.92792
2009-05-01,0.82230
2009-06-01,0.72015
2009-07-01,0.62558
2009-08-01,0.65094
2009-09-01,0.72518
2009-10-01,1.23990
2009-11-01,1.37348
2009-12-01,1.50952
2010-01-01,1.69090
2010-02-01,1.69865
2010-03-01,1.77697
2010-04-01,1.60297
2010-05-01,1.63686
2010-06-01,1.55557
2010-07-01,1.47059
2010-08-01,1.41762
2010-09-01,1.29683
2010-10-01,1.07878
2010-11-01,1.12158
2010-12-01,1.05675
2011-01-01,1.12344
2011-02-01,1.21190
2011-03-01,1.21457
2011-04-01,1.39470
2011-05-01,1.52356
2011-06-01,1.58633
2011-07-01,1.73445
2011-08-01,1.83963
2011-09-01,1.85082
2011-10-01,1.74472
2011-11-01,1.82786
2011-12-01,1.97496
2012-01-01,2.06148
2012-02-01,2.02585
2012-03-01,2.04485
2012-04-01,1.96534
2012-05-01,1.82674
2012-06-01,1.81926
2012-07-01,1.77387
2012-08-01,1.63592
2012-09-01,1.69160
2012-10-01,1.88945
2012-11-01,1.78307
2012-12-01,1.68987
2013-01-01,1.59159
2013-02-01,1.56013
2013-03-01,1.48074
2013-04-01,1.37706
2013-05-01,1.39292
2013-06-01,1.46365
2013-07-01,1.48796
2013-08-01,1.53325
2013-09-01,1.52923
2013-10-01,1.45482
2013-11-01,1.51426
2013-12-01,1.54736
2014-01-01,1.45246
2014-02-01,1.39012
2014-03-01,1.44742
2014-04-01,1.57127
2014-05-01,1.62366
2014-06-01,1.56354
2014-07-01,1.61032
2014-08-01,1.53975
2014-09-01,1.55485
2014-10-01,1.47091
2014-11-01,1.39258
2014-12-01,1.35635
2015-01-01,1.20971
2015-02-01,1.27748
2015-03-01,1.28084
2015-04-01,1.29437
2015-05-01,1.24720
2015-06-01,1.25415
2015-07-01,1.17895
2015-08-01,1.22125
2015-09-01,1.23212
2015-10-01,1.17799
2015-11-01,1.19670
2015-12-01,1.19170
2016-01-01,1.40624
2016-02-01,1.46589
2016-03-01,1.45745
2016-04-01,1.51995
2016-05-01,1.56873
2016-06-01,1.55240
2016-07-01,1.59933
2016-08-01,1.69696
2016-09-01,1.68525
2016-10-01,1.78241
2016-11-01,1.71886
2016-12-01,1.77009
2017-01-01,1.86333
2017-02-01,1.86728
2017-03-01,1.67865
2017-04-01,1.63682
2017-05-01,1.54552
2017-06-01,1.57644
2017-07-01,1.50311
2017-08-01,1.43359
2017-09-01,1.42259
2017-10-01,1.54101
2017-11-01,1.54538
2017-12-01,1.57688
2018-01-01,1.63204
2018-02-01,1.64422
2018-03-01,1.90918
2018-04-01,1.88422
2018-05-01,1.98090
2018-06-01,1.93622
2018-07-01,1.99580
2018-08-01,1.89576
2018-09-01,1.96030
2018-10-01,1.87091
2018-11-01,2.01025
2018-12-01,2.03808
2019-01-01,1.85235
2019-02-01,1.74015
2019-03-01,1.60719
2019-04-01,1.64564
2019-05-01,1.57300
2019-06-01,1.68250
2019-07-01,1.66657
2019-08-01,1.75953
2019-09-01,1.64767
2019-10-01,1.64312
2019-11-01,1.47237
2019-12-01,1.50290
2020-01-01,1.55232
2020-02-01,1.65600
2020-03-01,1.49152
2020-04-01,0.93247
2020-05-01,0.95085
2020-06-01,0.90842
2020-07-01,1.16387
2020-08-01,1.36594
2020-09-01,1.44481
2020-10-01,1.36668
2020-11-01,1.42794
2020-12-01,1.55352
2021-01-01,1.71524
2021-02-01,1.75323
2021-03-01,2.25556
2021-04-01,3.22055
2021-05-01,3.64398
2021-06-01,3.94922
2021-07-01,4.00999
2021-08-01,4.01885
2021-09-01,4.07439
2021-10-01,4.50081
2021-11-01,4.95111
2021-12-01,5.23801
2022-01-01,5.36949
2022-02-01,5.57470
2022-03-01,5.54958
2022-04-01,5.25494
2022-05-01,5.07456
2022-06-01,5.19258
2022-07-01,4.96151
2022-08-01,5.20748
2022-09-01,5.47208
2022-10-01,5.32586
2022-11-01,5.09036
2022-12-01,4.86514
2023-01-01,4.90118
2023-02-01,4.84453
2023-03-01,4.78296
2023-04-01,4.76300
2023-05-01,4.68783
2023-06-01,4.28008
2023-07-01,4.18915
2023-08-01,3.72618
2023-09-01,3.59248
2023-10-01,3.38367
2023-11-01,3.18252
2023-12-01,2.94092
2024-01-01,2.93885
2024-02-01,2.83417
2024-03-01,2.83229
2024-04-01,2.78316
2024-05-01,2.57261
